year,month,day,hour,minute,Celsius,PAH,PAH-24,PAH-12,PAH-6,PAH-3,PAH-1,PAH+1,PAH+2,PAH+3,PAH+4,PAH+6,PAH+12,PAH+24
2018,12,15,6,0,1.922222222,9.1,11.8,9.2,8.9,8.9,8.9,9.1,11.8,19.9,8.5,7.2,10.3,12.6
2018,12,15,6,15,1.922222222,11.4,9.8,9.3,8.9,8.9,9,9.2,15.1,16.6,8.5,7.1,10.6,10.1
2018,12,15,6,30,1.922222222,9.2,7.8,9.3,8.9,9,9.1,8.9,18.5,13,8.6,7.2,10.4,10.2
2018,12,15,6,45,1.922222222,9.3,7.8,9.3,8.9,9,9,9.2,21.7,9.4,8.4,7.1,10.5,10.2
2018,12,15,7,0,1.922222222,9.1,7.8,9.6,9,9.2,9.1,11.8,19.9,8.5,8,7.1,10.4,10.2
2018,12,15,7,15,1.922222222,9.2,7.9,9.5,9,9.1,11.4,15.1,16.6,8.5,7.5,7.2,10.3,10.1
2018,12,15,7,30,1.922222222,8.9,8,9.5,9.1,9,9.2,18.5,13,8.6,7.1,7.3,10.5,10
2018,12,15,7,45,1.922222222,9.2,7.85,9.3,9,9,9.3,21.7,9.4,8.4,7,7.2,10.5,9.6
2018,12,15,8,0,2.344444444,11.8,7.7,9.3,9.1,8.9,9.1,19.9,8.5,8,7.2,7.4,10.6,9.4
2018,12,15,8,15,2.344444444,15.1,7.45,9.2,9.1,9,9.2,16.6,8.5,7.5,7.1,7.9,10.5,9.4
2018,12,15,8,30,2.344444444,18.5,7.2,9.4,9.1,9.1,8.9,13,8.6,7.1,7.2,8.4,10.5,9.3
2018,12,15,8,45,2.344444444,21.7,7.1,9.5,9.1,9,9.2,9.4,8.4,7,7.1,8.9,10.6,9.3
2018,12,15,9,0,2.455555556,19.9,7,9.5,8.9,9.1,11.8,8.5,8,7.2,7.1,9.3,10.7,9.1
2018,12,15,9,15,2.455555556,16.6,6.95,9.5,8.9,11.4,15.1,8.5,7.5,7.1,7.2,9.7,10.8,8.7
2018,12,15,9,30,2.455555556,13,6.9,9.2,9,9.2,18.5,8.6,7.1,7.2,7.3,10.5,10.8,8.7
2018,12,15,9,45,2.455555556,9.4,6.75,9.3,9,9.3,21.7,8.4,7,7.1,7.2,11.3,10.7,8.8
2018,12,15,10,0,2.455555556,8.5,6.6,9.2,9.2,9.1,19.9,8,7.2,7.1,7.4,11.7,10.5,9
2018,12,15,10,15,2.455555556,8.5,6.6,9.5,9.1,9.2,16.6,7.5,7.1,7.2,7.9,11.4,10.7,9.2
2018,12,15,10,30,2.455555556,8.6,6.6,9.6,9,8.9,13,7.1,7.2,7.3,8.4,10.9,10.8,9.2
2018,12,15,10,45,2.455555556,8.4,6.75,9.6,9,9.2,9.4,7,7.1,7.2,8.9,10.7,10.8,9.3
2018,12,15,11,0,2.688888889,8,6.9,9.6,8.9,11.8,8.5,7.2,7.1,7.4,9.3,10.6,10.8,9.1
2018,12,15,11,15,2.688888889,7.5,6.8,9.3,9,15.1,8.5,7.1,7.2,7.9,9.7,10.7,10.6,9.2
2018,12,15,11,30,2.688888889,7.1,6.7,9.1,9.1,18.5,8.6,7.2,7.3,8.4,10.5,10.6,10.6,9
2018,12,15,11,45,2.688888889,7,6.7,9.1,9,21.7,8.4,7.1,7.2,8.9,11.3,10.4,10.5,9.2
2018,12,15,12,0,2.911111111,7.2,6.4,8.9,9.1,19.9,8,7.1,7.4,9.3,11.7,10.3,10.5,9.5
2018,12,15,12,15,2.911111111,7.1,6.5,8.9,11.4,16.6,7.5,7.2,7.9,9.7,11.4,10.6,10.3,9.5
2018,12,15,12,30,2.911111111,7.2,6.5,8.9,9.2,13,7.1,7.3,8.4,10.5,10.9,10.4,10.2,9.5
2018,12,15,12,45,2.911111111,7.1,6.6,8.9,9.3,9.4,7,7.2,8.9,11.3,10.7,10.5,10.1,9.3
2018,12,15,13,0,2.911111111,7.1,6.9,9,9.1,8.5,7.2,7.4,9.3,11.7,10.6,10.4,10.2,9.2
2018,12,15,13,15,2.911111111,7.2,7,9,9.2,8.5,7.1,7.9,9.7,11.4,10.7,10.3,10.1,9.2
2018,12,15,13,30,2.911111111,7.3,7.2,9.1,8.9,8.6,7.2,8.4,10.5,10.9,10.6,10.5,10.1,9.4
2018,12,15,13,45,2.911111111,7.2,7,9,9.2,8.4,7.1,8.9,11.3,10.7,10.4,10.5,10.2,9.3
2018,12,15,14,0,2.988888889,7.4,7.2,9.1,11.8,8,7.1,9.3,11.7,10.6,10.3,10.6,10,9.3
2018,12,15,14,15,2.988888889,7.9,7.1,9.1,15.1,7.5,7.2,9.7,11.4,10.7,10.6,10.5,10.3,9.4
2018,12,15,14,30,2.988888889,8.4,7.1,9.1,18.5,7.1,7.3,10.5,10.9,10.6,10.4,10.5,10.3,9.7
2018,12,15,14,45,2.988888889,8.9,7.1,9.1,21.7,7,7.2,11.3,10.7,10.4,10.5,10.6,10.3,10
2018,12,15,15,0,2.988888889,9.3,7.3,8.9,19.9,7.2,7.4,11.7,10.6,10.3,10.4,10.7,10.3,10.5
2018,12,15,15,15,2.988888889,9.7,7.7,8.9,16.6,7.1,7.9,11.4,10.7,10.6,10.3,10.8,10,10.6
2018,12,15,15,30,2.988888889,10.5,11.8,9,13,7.2,8.4,10.9,10.6,10.4,10.5,10.8,9.9,10.8
2018,12,15,15,45,2.988888889,11.3,16.2,9,9.4,7.1,8.9,10.7,10.4,10.5,10.5,10.7,10,10.7
2018,12,15,16,0,2.988888889,11.7,20.1,9.2,8.5,7.1,9.3,10.6,10.3,10.4,10.6,10.5,9.9,10.7
2018,12,15,16,15,2.988888889,11.4,24,9.1,8.5,7.2,9.7,10.7,10.6,10.3,10.5,10.7,10.1,10.7
2018,12,15,16,30,2.988888889,10.9,20.5,9,8.6,7.3,10.5,10.6,10.4,10.5,10.5,10.8,10.2,10.6
2018,12,15,16,45,2.988888889,10.7,16.9,9,8.4,7.2,11.3,10.4,10.5,10.5,10.6,10.8,10.1,10.7
2018,12,15,17,0,2.955555556,10.6,13.2,8.9,8,7.4,11.7,10.3,10.4,10.6,10.7,10.8,10.15,10.9
2018,12,15,17,15,2.955555556,10.7,9.6,9,7.5,7.9,11.4,10.6,10.3,10.5,10.8,10.6,10.2,11
2018,12,15,17,30,2.955555556,10.6,9.5,9.1,7.1,8.4,10.9,10.4,10.5,10.5,10.8,10.6,10.1,11
2018,12,15,17,45,2.955555556,10.4,9.4,9,7,8.9,10.7,10.5,10.5,10.6,10.7,10.5,10.1,11.1
2018,12,15,18,0,2.966666667,10.3,9.2,9.1,7.2,9.3,10.6,10.4,10.6,10.7,10.5,10.5,12.6,10.8
2018,12,15,18,15,2.966666667,10.6,9.3,11.4,7.1,9.7,10.7,10.3,10.5,10.8,10.7,10.3,10.1,10.7
2018,12,15,18,30,2.966666667,10.4,9.3,9.2,7.2,10.5,10.6,10.5,10.5,10.8,10.8,10.2,10.2,10.7
2018,12,15,18,45,2.966666667,10.5,9.3,9.3,7.1,11.3,10.4,10.5,10.6,10.7,10.8,10.1,10.2,10.7
2018,12,15,19,0,2.966666667,10.4,9.6,9.1,7.1,11.7,10.3,10.6,10.7,10.5,10.8,10.2,10.2,10.6
2018,12,15,19,15,2.966666667,10.3,9.5,9.2,7.2,11.4,10.6,10.5,10.8,10.7,10.6,10.1,10.1,10.8
2018,12,15,19,30,2.966666667,10.5,9.5,8.9,7.3,10.9,10.4,10.5,10.8,10.8,10.6,10.1,10,10.8
2018,12,15,19,45,2.966666667,10.5,9.3,9.2,7.2,10.7,10.5,10.6,10.7,10.8,10.5,10.2,9.6,11
2018,12,15,20,0,2.761111111,10.6,9.3,11.8,7.4,10.6,10.4,10.7,10.5,10.8,10.5,10,9.4,11
2018,12,15,20,15,2.761111111,10.5,9.2,15.1,7.9,10.7,10.3,10.8,10.7,10.6,10.3,10.3,9.4,10.9
2018,12,15,20,30,2.761111111,10.5,9.4,18.5,8.4,10.6,10.5,10.8,10.8,10.6,10.2,10.3,9.3,10.9
2018,12,15,20,45,2.761111111,10.6,9.5,21.7,8.9,10.4,10.5,10.7,10.8,10.5,10.1,10.3,9.3,10.7
2018,12,15,21,0,2.588888889,10.7,9.5,19.9,9.3,10.3,10.6,10.5,10.8,10.5,10.2,10.3,9.1,10.9
2018,12,15,21,15,2.588888889,10.8,9.5,16.6,9.7,10.6,10.5,10.7,10.6,10.3,10.1,10,8.7,10.8
2018,12,15,21,30,2.588888889,10.8,9.2,13,10.5,10.4,10.5,10.8,10.6,10.2,10.1,9.9,8.7,11
2018,12,15,21,45,2.588888889,10.7,9.3,9.4,11.3,10.5,10.6,10.8,10.5,10.1,10.2,10,8.8,10.8
2018,12,15,22,0,2.588888889,10.5,9.2,8.5,11.7,10.4,10.7,10.8,10.5,10.2,10,9.9,9,10.9
2018,12,15,22,15,2.588888889,10.7,9.5,8.5,11.4,10.3,10.8,10.6,10.3,10.1,10.3,10.1,9.2,10.9
2018,12,15,22,30,2.588888889,10.8,9.6,8.6,10.9,10.5,10.8,10.6,10.2,10.1,10.3,10.2,9.2,10.6
2018,12,15,22,45,2.588888889,10.8,9.6,8.4,10.7,10.5,10.7,10.5,10.1,10.2,10.3,10.1,9.3,10.5
2018,12,15,23,0,2.283333333,10.8,9.6,8,10.6,10.6,10.5,10.5,10.2,10,10.3,10.15,9.1,10.2
2018,12,15,23,15,2.283333333,10.6,9.3,7.5,10.7,10.5,10.7,10.3,10.1,10.3,10,10.2,9.2,10.2
2018,12,15,23,30,2.283333333,10.6,9.1,7.1,10.6,10.5,10.8,10.2,10.1,10.3,9.9,10.1,9,10.1
2018,12,15,23,45,2.283333333,10.5,9.1,7,10.4,10.6,10.8,10.1,10.2,10.3,10,10.1,9.2,10.4
2018,12,16,0,0,2.166666667,10.5,8.9,7.2,10.3,10.7,10.8,10.2,10,10.3,9.9,12.6,9.5,10.3
2018,12,16,0,15,2.166666667,10.3,8.9,7.1,10.6,10.8,10.6,10.1,10.3,10,10.1,10.1,9.5,10.3
2018,12,16,0,30,2.166666667,10.2,8.9,7.2,10.4,10.8,10.6,10.1,10.3,9.9,10.2,10.2,9.5,10.3
2018,12,16,0,45,2.166666667,10.1,8.9,7.1,10.5,10.7,10.5,10.2,10.3,10,10.1,10.2,9.3,10.2
2018,12,16,1,0,2.166666667,10.2,9,7.1,10.4,10.5,10.5,10,10.3,9.9,10.15,10.2,9.2,10.2
2018,12,16,1,15,2.166666667,10.1,9,7.2,10.3,10.7,10.3,10.3,10,10.1,10.2,10.1,9.2,10.4
2018,12,16,1,30,2.166666667,10.1,9.1,7.3,10.5,10.8,10.2,10.3,9.9,10.2,10.1,10,9.4,10.3
2018,12,16,1,45,2.166666667,10.2,9,7.2,10.5,10.8,10.1,10.3,10,10.1,10.1,9.6,9.3,10.3
2018,12,16,2,0,1.766666667,10,9.1,7.4,10.6,10.8,10.2,10.3,9.9,10.15,12.6,9.4,9.3,10.3
2018,12,16,2,15,1.766666667,10.3,9.1,7.9,10.5,10.6,10.1,10,10.1,10.2,10.1,9.4,9.4,10.2
2018,12,16,2,30,1.766666667,10.3,9.1,8.4,10.5,10.6,10.1,9.9,10.2,10.1,10.2,9.3,9.7,10.3
2018,12,16,2,45,1.766666667,10.3,9.1,8.9,10.6,10.5,10.2,10,10.1,10.1,10.2,9.3,10,10.4
2018,12,16,3,0,1.55,10.3,8.9,9.3,10.7,10.5,10,9.9,10.15,12.6,10.2,9.1,10.5,10.4
2018,12,16,3,15,1.55,10,8.9,9.7,10.8,10.3,10.3,10.1,10.2,10.1,10.1,8.7,10.6,10.2
2018,12,16,3,30,1.55,9.9,9,10.5,10.8,10.2,10.3,10.2,10.1,10.2,10,8.7,10.8,10.2
2018,12,16,3,45,1.55,10,9,11.3,10.7,10.1,10.3,10.1,10.1,10.2,9.6,8.8,10.7,10.1
2018,12,16,4,0,1.55,9.9,9.2,11.7,10.5,10.2,10.3,10.15,12.6,10.2,9.4,9,10.7,10.1
2018,12,16,4,15,1.55,10.1,9.1,11.4,10.7,10.1,10,10.2,10.1,10.1,9.4,9.2,10.7,10.2
2018,12,16,4,30,1.55,10.2,9,10.9,10.8,10.1,9.9,10.1,10.2,10,9.3,9.2,10.6,10.3
2018,12,16,4,45,1.55,10.1,9,10.7,10.8,10.2,10,10.1,10.2,9.6,9.3,9.3,10.7,10.2
2018,12,16,5,15,1.661111111,10.2,9.05,10.7,10.6,10.3,10.1,10.1,10.1,9.4,8.7,9.2,11,10.3
2018,12,16,5,30,1.661111111,10.1,9.1,10.6,10.6,10.3,10.2,10.2,10,9.3,8.7,9,11,10.4
2018,12,16,5,45,1.661111111,10.1,9,10.4,10.5,10.3,10.1,10.2,9.6,9.3,8.8,9.2,11.1,10.3
2018,12,16,6,0,1.566666667,12.6,9.1,10.3,10.5,10.3,10.15,10.2,9.4,9.1,9,9.5,10.8,10.2
2018,12,16,6,15,1.566666667,10.1,11.4,10.6,10.3,10,10.2,10.1,9.4,8.7,9.2,9.5,10.7,10.2
2018,12,16,6,30,1.566666667,10.2,9.2,10.4,10.2,9.9,10.1,10,9.3,8.7,9.2,9.5,10.7,10.1
2018,12,16,6,45,1.566666667,10.2,9.3,10.5,10.1,10,10.1,9.6,9.3,8.8,9.3,9.3,10.7,10.3
2018,12,16,7,0,1.566666667,10.2,9.1,10.4,10.2,9.9,12.6,9.4,9.1,9,9.1,9.2,10.6,10.3
2018,12,16,7,15,1.566666667,10.1,9.2,10.3,10.1,10.1,10.1,9.4,8.7,9.2,9.2,9.2,10.8,10.3
2018,12,16,7,30,1.566666667,10,8.9,10.5,10.1,10.2,10.2,9.3,8.7,9.2,9,9.4,10.8,10.3
2018,12,16,7,45,1.566666667,9.6,9.2,10.5,10.2,10.1,10.2,9.3,8.8,9.3,9.2,9.3,11,10.3
2018,12,16,8,0,1.805555556,9.4,11.8,10.6,10,10.15,10.2,9.1,9,9.1,9.5,9.3,11,10.2
2018,12,16,8,15,1.805555556,9.4,15.1,10.5,10.3,10.2,10.1,8.7,9.2,9.2,9.5,9.4,10.9,9.9
2018,12,16,8,30,1.805555556,9.3,18.5,10.5,10.3,10.1,10,8.7,9.2,9,9.5,9.7,10.9,9.5
2018,12,16,8,45,1.805555556,9.3,21.7,10.6,10.3,10.1,9.6,8.8,9.3,9.2,9.3,10,10.7,9.3
2018,12,16,9,0,1.872222222,9.1,19.9,10.7,10.3,12.6,9.4,9,9.1,9.5,9.2,10.5,10.9,9
2018,12,16,9,15,1.872222222,8.7,16.6,10.8,10,10.1,9.4,9.2,9.2,9.5,9.2,10.6,10.8,9
2018,12,16,9,30,1.872222222,8.7,13,10.8,9.9,10.2,9.3,9.2,9,9.5,9.4,10.8,11,9.1
2018,12,16,9,45,1.872222222,8.8,9.4,10.7,10,10.2,9.3,9.3,9.2,9.3,9.3,10.7,10.8,8.7
2018,12,16,10,0,1.872222222,9,8.5,10.5,9.9,10.2,9.1,9.1,9.5,9.2,9.3,10.7,10.9,8.8
2018,12,16,10,15,1.872222222,9.2,8.5,10.7,10.1,10.1,8.7,9.2,9.5,9.2,9.4,10.7,10.9,8.8
2018,12,16,10,30,1.872222222,9.2,8.6,10.8,10.2,10,8.7,9,9.5,9.4,9.7,10.6,10.6,8.9
2018,12,16,10,45,1.872222222,9.3,8.4,10.8,10.1,9.6,8.8,9.2,9.3,9.3,10,10.7,10.5,9.3
2018,12,16,11,0,1.916666667,9.1,8,10.8,10.15,9.4,9,9.5,9.2,9.3,10.5,10.9,10.2,9.5
2018,12,16,11,15,1.916666667,9.2,7.5,10.6,10.2,9.4,9.2,9.5,9.2,9.4,10.6,11,10.2,9.5
2018,12,16,11,30,1.916666667,9,7.1,10.6,10.1,9.3,9.2,9.5,9.4,9.7,10.8,11,10.1,9.5
2018,12,16,11,45,1.916666667,9.2,7,10.5,10.1,9.3,9.3,9.3,9.3,10,10.7,11.1,10.4,9.1
2018,12,16,12,0,2.027777778,9.5,7.2,10.5,12.6,9.1,9.1,9.2,9.3,10.5,10.7,10.8,10.3,9
2018,12,16,12,15,2.027777778,9.5,7.1,10.3,10.1,8.7,9.2,9.2,9.4,10.6,10.7,10.7,10.3,9.2
2018,12,16,12,30,2.027777778,9.5,7.2,10.2,10.2,8.7,9,9.4,9.7,10.8,10.6,10.7,10.3,9.6
2018,12,16,12,45,2.027777778,9.3,7.1,10.1,10.2,8.8,9.2,9.3,10,10.7,10.7,10.7,10.2,10.2
2018,12,16,13,0,2.027777778,9.2,7.1,10.2,10.2,9,9.5,9.3,10.5,10.7,10.9,10.6,10.2,10.8
2018,12,16,13,15,2.027777778,9.2,7.2,10.1,10.1,9.2,9.5,9.4,10.6,10.7,11,10.8,10.4,10.9
2018,12,16,13,30,2.027777778,9.4,7.3,10.1,10,9.2,9.5,9.7,10.8,10.6,11,10.8,10.3,10.6
2018,12,16,13,45,2.027777778,9.3,7.2,10.2,9.6,9.3,9.3,10,10.7,10.7,11.1,11,10.3,10.1
2018,12,16,14,0,1.933333333,9.3,7.4,10,9.4,9.1,9.2,10.5,10.7,10.9,10.8,11,10.3,9.4
2018,12,16,14,15,1.933333333,9.4,7.9,10.3,9.4,9.2,9.2,10.6,10.7,11,10.7,10.9,10.2,9.1
2018,12,16,14,30,1.933333333,9.7,8.4,10.3,9.3,9,9.4,10.8,10.6,11,10.7,10.9,10.3,9
2018,12,16,14,45,1.933333333,10,8.9,10.3,9.3,9.2,9.3,10.7,10.7,11.1,10.7,10.7,10.4,9.2
2018,12,16,15,0,1.822222222,10.5,9.3,10.3,9.1,9.5,9.3,10.7,10.9,10.8,10.6,10.9,10.4,12.6
2018,12,16,15,15,1.822222222,10.6,9.7,10,8.7,9.5,9.4,10.7,11,10.7,10.8,10.8,10.2,16.7
2018,12,16,15,30,1.822222222,10.8,10.5,9.9,8.7,9.5,9.7,10.6,11,10.7,10.8,11,10.2,20.6
2018,12,16,15,45,1.822222222,10.7,11.3,10,8.8,9.3,10,10.7,11.1,10.7,11,10.8,10.1,24.6
2018,12,16,16,0,1.822222222,10.7,11.7,9.9,9,9.2,10.5,10.9,10.8,10.6,11,10.9,10.1,22.2
2018,12,16,16,15,1.822222222,10.7,11.4,10.1,9.2,9.2,10.6,11,10.7,10.8,10.9,10.9,10.2,18.5
2018,12,16,16,30,1.822222222,10.6,10.9,10.2,9.2,9.4,10.8,11,10.7,10.8,10.9,10.6,10.3,14.9
2018,12,16,16,45,1.822222222,10.7,10.7,10.1,9.3,9.3,10.7,11.1,10.7,11,10.7,10.5,10.2,11.2
2018,12,16,17,0,1.511111111,10.9,10.6,10.15,9.1,9.3,10.7,10.8,10.6,11,10.9,10.2,10.4,10.5
2018,12,16,17,15,1.511111111,11,10.7,10.2,9.2,9.4,10.7,10.7,10.8,10.9,10.8,10.2,10.3,10.7
2018,12,16,17,30,1.511111111,11,10.6,10.1,9,9.7,10.6,10.7,10.8,10.9,11,10.1,10.4,10.8
2018,12,16,17,45,1.511111111,11.1,10.4,10.1,9.2,10,10.7,10.7,11,10.7,10.8,10.4,10.3,10.7
2018,12,16,18,0,1.333333333,10.8,10.3,12.6,9.5,10.5,10.9,10.6,11,10.9,10.9,10.3,10.2,10.9
2018,12,16,18,15,1.333333333,10.7,10.6,10.1,9.5,10.6,11,10.8,10.9,10.8,10.9,10.3,10.2,10.8
2018,12,16,18,30,1.333333333,10.7,10.4,10.2,9.5,10.8,11,10.8,10.9,11,10.6,10.3,10.1,10.7
2018,12,16,18,45,1.333333333,10.7,10.5,10.2,9.3,10.7,11.1,11,10.7,10.8,10.5,10.2,10.3,10.6
2018,12,16,19,0,1.333333333,10.6,10.4,10.2,9.2,10.7,10.8,11,10.9,10.9,10.2,10.2,10.3,10.6
2018,12,16,19,15,1.333333333,10.8,10.3,10.1,9.2,10.7,10.7,10.9,10.8,10.9,10.2,10.4,10.3,10.4
2018,12,16,19,30,1.333333333,10.8,10.5,10,9.4,10.6,10.7,10.9,11,10.6,10.1,10.3,10.3,10.6
2018,12,16,19,45,1.333333333,11,10.5,9.6,9.3,10.7,10.7,10.7,10.8,10.5,10.4,10.3,10.3,10.8
2018,12,16,20,0,1.166666667,11,10.6,9.4,9.3,10.9,10.6,10.9,10.9,10.2,10.3,10.3,10.2,10.8
2018,12,16,20,15,1.166666667,10.9,10.5,9.4,9.4,11,10.8,10.8,10.9,10.2,10.3,10.2,9.9,10.8
2018,12,16,20,30,1.166666667,10.9,10.5,9.3,9.7,11,10.8,11,10.6,10.1,10.3,10.3,9.5,10.6
2018,12,16,20,45,1.166666667,10.7,10.6,9.3,10,11.1,11,10.8,10.5,10.4,10.2,10.4,9.3,10.6
2018,12,16,21,0,1.033333333,10.9,10.7,9.1,10.5,10.8,11,10.9,10.2,10.3,10.2,10.4,9,10.5
2018,12,16,21,15,1.033333333,10.8,10.8,8.7,10.6,10.7,10.9,10.9,10.2,10.3,10.4,10.2,9,10.6
2018,12,16,21,30,1.033333333,11,10.8,8.7,10.8,10.7,10.9,10.6,10.1,10.3,10.3,10.2,9.1,10.7
2018,12,16,21,45,1.033333333,10.8,10.7,8.8,10.7,10.7,10.7,10.5,10.4,10.2,10.3,10.1,8.7,10.8
